Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
12/09/2020,Fulham,Arsenal,0,3,A,0,1,A,5,13,2,6,12,12,2,3,2,2,0,0
12/09/2020,Crystal Palace,Southampton,1,0,H,1,0,H,5,9,3,5,14,11,7,3,2,1,0,0
12/09/2020,Liverpool,Leeds,4,3,H,3,2,H,22,6,6,3,9,6,9,0,1,0,0,0
12/09/2020,West Ham,Newcastle,0,2,A,0,0,D,15,15,3,2,13,7,8,7,2,2,0,0
13/09/2020,West Brom,Leicester,0,3,A,0,0,D,7,13,1,7,12,9,2,5,1,1,0,0
13/09/2020,Tottenham,Everton,0,1,A,0,0,D,9,15,5,4,15,7,5,3,1,0,0,0
14/09/2020,Brighton,Chelsea,1,3,A,0,1,A,13,10,3,5,8,13,4,3,1,0,0,0
14/09/2020,Sheffield United,Wolves,0,2,A,0,2,A,9,11,2,4,13,7,12,5,2,1,0,0
19/09/2020,Everton,West Brom,5,2,H,2,1,H,17,6,7,4,9,11,11,1,1,0,0,1
19/09/2020,Leeds,Fulham,4,3,H,2,1,H,10,14,7,6,13,18,5,3,1,2,0,0
19/09/2020,Man United,Crystal Palace,1,3,A,0,1,A,13,14,4,5,13,10,9,3,2,1,0,0
19/09/2020,Arsenal,West Ham,2,1,H,1,1,D,7,14,3,3,11,13,7,5,0,1,0,0
20/09/2020,Southampton,Tottenham,2,5,A,1,1,D,14,9,7,6,16,18,3,2,4,3,0,0
20/09/2020,Newcastle,Brighton,0,3,A,0,2,A,6,13,0,6,16,15,7,1,3,0,0,1
20/09/2020,Chelsea,Liverpool,0,2,A,0,0,D,5,18,3,6,10,6,1,11,0,0,1,0
20/09/2020,Leicester,Burnley,4,2,H,1,1,D,14,16,6,5,11,13,15,4,1,2,0,0
21/09/2020,Aston Villa,Sheffield United,1,0,H,0,0,D,18,4,2,1,12,13,10,4,3,1,0,1
21/09/2020,Wolves,Man City,1,3,A,0,2,A,10,14,1,9,6,8,4,6,0,3,0,0
26/09/2020,Brighton,Man United,2,3,A,1,1,D,18,7,5,3,18,16,7,1,4,2,0,0
26/09/2020,Crystal Palace,Everton,1,2,A,1,2,A,8,10,1,5,16,15,7,6,3,1,0,0
26/09/2020,West Brom,Chelsea,3,3,D,3,0,H,9,22,3,10,8,16,3,9,1,3,0,0
26/09/2020,Burnley,Southampton,0,1,A,0,1,A,10,5,2,1,8,10,8,2,1,0,0,0
27/09/2020,Sheffield United,Leeds,0,1,A,0,0,D,14,17,4,9,18,4,5,7,2,1,0,0
27/09/2020,Tottenham,Newcastle,1,1,D,1,0,H,23,6,12,1,15,9,10,4,1,4,0,0
27/09/2020,Man City,Leicester,2,5,A,1,1,D,16,7,5,7,13,8,3,4,1,3,0,0
27/09/2020,West Ham,Wolves,4,0,H,1,0,H,15,11,7,2,7,11,1,3,0,1,0,0
28/09/2020,Fulham,Aston Villa,0,3,A,0,2,A,16,12,3,5,18,14,5,3,6,3,0,0
28/09/2020,Liverpool,Arsenal,3,1,H,2,1,H,21,4,8,3,11,7,7,3,2,2,0,0
03/10/2020,Chelsea,Crystal Palace,4,0,H,0,0,D,17,4,6,0,17,13,8,5,2,0,0,0
03/10/2020,Everton,Brighton,4,2,H,2,1,H,11,11,6,3,13,14,3,10,0,1,0,0
03/10/2020,Leeds,Man City,1,1,D,0,1,A,12,23,7,2,11,12,7,10,2,1,0,0
03/10/2020,Newcastle,Burnley,3,1,H,1,0,H,10,7,5,3,13,17,3,4,2,3,0,0
04/10/2020,Leicester,West Ham,0,3,A,0,2,A,4,14,0,6,11,8,6,4,2,2,0,0
04/10/2020,Southampton,West Brom,2,0,H,1,0,H,13,5,7,2,19,10,5,1,2,1,0,0
04/10/2020,Arsenal,Sheffield United,2,1,H,0,0,D,6,6,5,2,3,9,2,4,0,1,0,0
04/10/2020,Wolves,Fulham,1,0,H,0,0,D,14,10,5,2,15,8,6,2,1,1,0,0
04/10/2020,Man United,Tottenham,1,6,A,1,4,A,5,22,2,8,14,10,2,4,2,1,1,0
04/10/2020,Aston Villa,Liverpool,7,2,H,4,1,H,18,14,11,8,7,10,2,7,2,1,0,0
17/10/2020,Everton,Liverpool,2,2,D,1,1,D,11,22,5,8,15,9,2,5,3,2,1,0
17/10/2020,Chelsea,Southampton,3,3,D,2,1,H,11,13,5,6,11,9,6,2,1,1,0,0
17/10/2020,Man City,Arsenal,1,0,H,1,0,H,13,11,5,3,15,10,6,6,4,1,0,0
17/10/2020,Newcastle,Man United,1,4,A,1,1,D,7,28,4,14,9,12,0,7,1,1,0,0
18/10/2020,Sheffield United,Fulham,1,1,D,0,0,D,10,15,6,6,5,9,2,5,0,2,0,0
18/10/2020,Crystal Palace,Brighton,1,1,D,1,0,H,1,20,1,3,13,12,2,5,3,2,0,1
18/10/2020,Tottenham,West Ham,3,3,D,3,0,H,11,13,6,4,13,12,3,7,0,5,0,0
18/10/2020,Leicester,Aston Villa,0,1,A,0,0,D,11,10,5,4,18,18,2,7,4,3,0,0
19/10/2020,West Brom,Burnley,0,0,D,0,0,D,13,9,6,4,15,17,8,2,2,2,0,0
19/10/2020,Leeds,Wolves,0,1,A,0,0,D,13,7,2,3,13,12,8,3,2,1,0,0
23/10/2020,Aston Villa,Leeds,0,3,A,0,0,D,12,27,4,9,14,17,6,5,2,2,0,0
24/10/2020,West Ham,Man City,1,1,D,1,0,H,6,14,2,7,14,6,2,10,2,0,0,0
24/10/2020,Fulham,Crystal Palace,1,2,A,0,1,A,16,14,3,10,11,11,4,4,0,1,1,0
24/10/2020,Man United,Chelsea,0,0,D,0,0,D,14,6,4,1,8,6,9,6,3,1,0,0
24/10/2020,Liverpool,Sheffield United,2,1,H,1,1,D,17,13,5,2,7,15,7,3,0,3,0,0
25/10/2020,Southampton,Everton,2,0,H,2,0,H,12,6,6,2,11,11,4,5,1,2,0,1
25/10/2020,Wolves,Newcastle,1,1,D,0,0,D,16,5,3,2,10,10,2,3,0,1,0,0
25/10/2020,Arsenal,Leicester,0,1,A,0,0,D,12,6,4,2,13,9,9,3,3,5,0,0
26/10/2020,Brighton,West Brom,1,1,D,1,0,H,5,9,3,3,14,7,6,2,2,0,0,0
26/10/2020,Burnley,Tottenham,0,1,A,0,0,D,13,9,4,3,9,7,4,5,2,0,0,0
30/10/2020,Wolves,Crystal Palace,2,0,H,2,0,H,15,11,5,2,13,4,7,6,0,2,0,1
31/10/2020,Sheffield United,Man City,0,1,A,0,1,A,5,16,1,8,14,6,2,5,0,0,0,0
31/10/2020,Burnley,Chelsea,0,3,A,0,1,A,5,14,0,9,10,15,3,4,1,0,0,0
31/10/2020,Liverpool,West Ham,2,1,H,1,1,D,9,4,5,3,13,14,1,2,0,1,0,0
